COLLECTION,RUNTIME (ns),Threads,READOP,WRITEOP,TOTALOP
SynchronizedList,35613202,40,5000,5000,10000
SynchronizedList,33260146,41,5000,5000,10000
SynchronizedList,36667182,42,5000,5000,10000
SynchronizedList,35893733,43,5000,5000,10000
SynchronizedList,36425349,44,5000,5000,10000
SynchronizedList,39038558,45,5000,5000,10000
SynchronizedList,41364806,46,5000,5000,10000
SynchronizedList,41077690,47,5000,5000,10000
SynchronizedList,46798297,48,5000,5000,10000
SynchronizedList,43805454,49,5000,5000,10000
SynchronizedList,40069349,50,5000,5000,10000
SynchronizedList,42255747,51,5000,5000,10000
SynchronizedList,42897858,52,5000,5000,10000
SynchronizedList,42600187,53,5000,5000,10000
SynchronizedList,48256010,54,5000,5000,10000
SynchronizedList,51031501,55,5000,5000,10000
SynchronizedList,46605083,56,5000,5000,10000
SynchronizedList,55509631,57,5000,5000,10000
SynchronizedList,45721994,58,5000,5000,10000
SynchronizedList,44995124,59,5000,5000,10000
SynchronizedList,51267822,60,5000,5000,10000
CopyOnWriteArrayList,97502995,1,10000,10000,20000
CopyOnWriteArrayList,281523510,2,10000,10000,20000
CopyOnWriteArrayList,452672425,3,10000,10000,20000
CopyOnWriteArrayList,762733994,4,10000,10000,20000
CopyOnWriteArrayList,1195365506,5,10000,10000,20000
CopyOnWriteArrayList,1646920740,6,10000,10000,20000
CopyOnWriteArrayList,2267749049,7,10000,10000,20000
CopyOnWriteArrayList,2909896210,8,10000,10000,20000
CopyOnWriteArrayList,3689116327,9,10000,10000,20000
CopyOnWriteArrayList,4545679520,10,10000,10000,20000
CopyOnWriteArrayList,5537216441,11,10000,10000,20000
CopyOnWriteArrayList,6541057699,12,10000,10000,20000
CopyOnWriteArrayList,7665915728,13,10000,10000,20000
CopyOnWriteArrayList,8949196213,14,10000,10000,20000
CopyOnWriteArrayList,10262472140,15,10000,10000,20000
CopyOnWriteArrayList,11523903043,16,10000,10000,20000
CopyOnWriteArrayList,13140029463,17,10000,10000,20000
CopyOnWriteArrayList,14601629486,18,10000,10000,20000
CopyOnWriteArrayList,16596565899,19,10000,10000,20000
CopyOnWriteArrayList,18119742579,20,10000,10000,20000
CopyOnWriteArrayList,19959922432,21,10000,10000,20000
CopyOnWriteArrayList,22384642046,22,10000,10000,20000
CopyOnWriteArrayList,23992939052,23,10000,10000,20000
CopyOnWriteArrayList,26389819159,24,10000,10000,20000
CopyOnWriteArrayList,28424059142,25,10000,10000,20000
CopyOnWriteArrayList,30937303581,26,10000,10000,20000
CopyOnWriteArrayList,33659164284,27,10000,10000,20000
CopyOnWriteArrayList,36111499111,28,10000,10000,20000
CopyOnWriteArrayList,39058634204,29,10000,10000,20000
CopyOnWriteArrayList,41861175326,30,10000,10000,20000
CopyOnWriteArrayList,44921279863,31,10000,10000,20000
CopyOnWriteArrayList,47420418175,32,10000,10000,20000
CopyOnWriteArrayList,50511846334,33,10000,10000,20000
CopyOnWriteArrayList,54250539254,34,10000,10000,20000
CopyOnWriteArrayList,57608228115,35,10000,10000,20000
CopyOnWriteArrayList,61345905167,36,10000,10000,20000
CopyOnWriteArrayList,64974018689,37,10000,10000,20000
CopyOnWriteArrayList,69981172033,38,10000,10000,20000
CopyOnWriteArrayList,72096307368,39,10000,10000,20000
CopyOnWriteArrayList,76739959993,40,10000,10000,20000
CopyOnWriteArrayList,80591166900,41,10000,10000,20000
CopyOnWriteArrayList,85345871847,42,10000,10000,20000
CopyOnWriteArrayList,90585629873,43,10000,10000,20000
CopyOnWriteArrayList,95126076993,44,10000,10000,20000
CopyOnWriteArrayList,100154784904,45,10000,10000,20000
CopyOnWriteArrayList,105784675386,46,10000,10000,20000
